Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
2971.712,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
2975.463,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,START
2978.284,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,START
2980.035,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,STOP
2980.534,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,frontal,,,START
2981.534,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,frontal,,,STOP
2982.035,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,START
2983.035,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,STOP
2985.209,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
2986.959,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,START
2990.959,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
2998.544,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,tailbeat,,,START
3001.055,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,tailbeat,,,STOP
3015.292,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,START
3021.952,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,START
3022.293,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
3023.952,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,STOP
3024.665,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,START
3027.452,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,START
3030.951,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,STOP
3039.166,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
3042.416,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,START
3042.952,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,frontal,,,START
3044.702,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,frontal,,,STOP
3046.452,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,START
3048.418,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
3048.452,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,STOP
3049.418,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,START
3050.418,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
3052.419,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,START
3055.704,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,START
3058.201,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,STOP
3060.452,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,START
3064.618,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,STOP
3066.416,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
3073.916,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,START
3086.335,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
3094.666,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,START
3098.618,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,START
3098.916,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
3099.167,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,frontal,,,START
3099.417,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,frontal,,,STOP
3099.918,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,START
3101.867,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,STOP
3103.867,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,frontal,,,START
3105.035,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,frontal,,,STOP
3106.535,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,START
3109.415,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
3112.034,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,STOP
3119.202,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,tailbeat,,,START
3120.018,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,tailbeat,,,STOP
3122.201,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lunging/shooting out,,,START
3122.702,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lunging/shooting out,,,STOP
3122.952,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,frontal,,,START
3125.452,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,frontal,,,STOP
3125.702,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,START
3125.952,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,START
3127.451,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
3130.035,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,START
3133.701,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,STOP
3138.200,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,START
3140.118,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Left,lateral display,,,STOP
3140.701,D:/multi-terridef-record/no-pred/huy_multiterridef_id2526_nopred_20190811_cropped.mp4,14414.730,30.0,Right,lateral display,,,STOP
